idle_time,ws_gap_diff,ds_gap_diff
1.0,1000.0,947.1
4.37,852.24,774.8
7.75,847.93,828.36
11.12,883.05,765.87
14.49,668.92,666.98
17.86,638.58,652.55
21.24,794.84,745.24
24.61,692.29,538.42
27.98,549.97,634.94
31.36,634.67,544.65
34.73,519.26,529.31
38.1,505.59,648.44
41.47,564.06,609.66
44.85,337.2,597.91
48.22,345.52,637.32
51.59,451.98,499.74
54.97,397.74,557.29
58.34,521.82,450.03
61.71,391.44,505.88
65.08,333.29,453.27
68.46,613.76,469.16
71.83,437.65,512.48
75.2,460.32,364.95
78.58,304.74,650.09
81.95,386.68,334.57
85.32,446.36,308.31
88.69,314.55,540.31
92.07,461.8,498.63
95.44,358.95,477.01
98.81,384.81,472.75
102.19,348.94,404.16
105.56,589.63,311.27
108.93,398.5,404.33
112.31,289.65,324.92
115.68,473.39,486.15
119.05,264.88,370.05
122.42,403.8,298.44
125.8,183.01,345.18
129.17,242.32,415.04
132.54,391.09,313.9
135.92,441.6,284.65
139.29,381.34,387.94
142.66,349.17,384.83
146.03,327.23,306.49
149.41,206.18,307.0
152.78,278.81,374.29
156.15,301.57,203.33
159.53,450.24,204.51
162.9,375.86,270.58
166.27,162.22,318.32
169.64,368.02,368.04
173.02,294.25,481.83
176.39,262.27,417.45
179.76,388.38,313.14
183.14,427.62,324.72
186.51,415.0,223.9
189.88,235.35,319.88
193.25,285.8,290.49
196.63,347.34,349.3
200.0,409.3,232.0
200.0,263.83,366.66
202.8,291.16,466.13
205.59,197.11,300.13
208.39,186.16,349.35
211.19,385.1,376.39
213.99,437.57,265.48
216.78,292.86,326.26
219.58,398.55,303.38
222.38,332.53,310.18
225.17,230.04,221.42
227.97,328.9,299.51
230.77,444.8,345.21
233.57,285.66,438.9
236.36,443.99,388.1
239.16,23.84,505.9
241.96,366.32,212.28
244.76,291.17,374.7
247.55,250.91,304.27
250.35,288.36,503.39
253.15,78.82,202.08
255.94,254.01,197.46
258.74,310.12,220.02
261.54,420.64,66.12
264.34,219.48,224.5
267.13,188.93,199.74
269.93,218.09,289.29
272.73,358.31,307.03
275.52,298.17,459.1
278.32,210.85,365.16
281.12,313.7,211.07
283.92,270.65,177.59
286.71,356.38,315.3
289.51,187.91,132.77
292.31,223.95,446.64
295.1,216.13,380.15
297.9,107.62,214.02
300.7,282.23,88.36
303.5,277.38,393.81
306.29,250.45,245.73
309.09,225.16,379.74
311.89,105.78,95.3
314.69,203.96,193.6
317.48,210.47,252.87
320.28,163.24,255.86
323.08,226.08,204.98
325.87,281.36,311.11
328.67,428.34,140.91
331.47,255.95,232.29
334.27,263.02,257.42
337.06,228.62,295.71
339.86,42.99,314.31
342.66,231.02,129.58
345.45,238.52,87.53
348.25,477.65,367.62
351.05,210.93,272.01
353.85,259.17,162.85
356.64,224.4,391.76
359.44,109.87,247.15
362.24,339.9,352.47
365.03,299.69,240.25
367.83,302.5,438.55
370.63,131.36,406.98
373.43,361.48,205.54
376.22,79.94,326.58
379.02,277.73,292.96
381.82,437.03,364.3
384.62,117.87,129.95
387.41,159.24,294.07
390.21,224.8,330.34
393.01,163.45,47.66
395.8,57.7,104.25
398.6,218.6,17.7
401.4,104.5,193.74
404.2,257.08,291.5
406.99,116.78,369.05
409.79,362.72,225.3
412.59,128.42,379.83
415.38,173.56,78.05
418.18,286.14,44.81
420.98,80.74,208.7
423.78,225.61,251.76
426.57,332.63,209.2
429.37,40.22,4.84
432.17,218.49,201.8
434.97,225.07,79.39
437.76,276.34,275.94
440.56,73.54,244.77
443.36,64.27,113.27
446.15,247.6,155.02
448.95,224.2,99.65
451.75,218.65,198.46
454.55,227.35,299.41
457.34,123.81,104.49
460.14,214.15,252.65
462.94,219.36,148.4
465.73,117.74,121.32
468.53,374.88,189.1
471.33,234.83,95.48
474.13,67.46,142.84
476.92,251.39,77.62
479.72,87.42,393.09
482.52,262.75,199.36
485.31,299.06,125.08
488.11,100.3,215.67
490.91,277.88,182.27
493.71,222.0,170.64
496.5,262.11,253.39
499.3,368.76,266.97
502.1,153.74,137.41
504.9,102.1,132.13
507.69,87.72,161.46
510.49,94.29,1.0
513.29,167.37,35.97
516.08,208.41,323.44
518.88,201.18,350.52
521.68,255.45,160.39
524.48,173.25,242.23
527.27,316.53,214.98
530.07,143.95,491.03
532.87,441.67,294.39
535.66,231.46,168.93
538.46,82.42,85.47
541.26,60.3,19.68
544.06,214.88,199.97
546.85,143.55,103.3
549.65,236.55,36.02
552.45,211.74,112.9
555.24,156.4,68.72
558.04,78.28,344.92
560.84,10.75,263.69
563.64,116.86,174.06
566.43,246.43,322.18
569.23,181.49,181.26
572.03,34.79,86.73
574.83,175.98,324.51
577.62,196.49,225.44
580.42,68.87,67.17
583.22,171.93,151.21
586.01,161.69,82.04
588.81,40.88,30.68
591.61,190.27,260.93
594.41,209.88,358.62
597.2,261.43,27.19
600.0,257.83,222.71
600.0,14.68,101.35
603.39,57.85,116.94
606.78,202.32,105.66
610.17,201.39,77.75
613.56,200.71,168.25
616.95,533.68,79.56
620.34,204.7,188.96
623.73,260.38,156.15
627.12,241.44,136.55
630.51,210.39,68.96
633.9,112.95,101.32
637.29,219.6,233.81
640.68,65.65,207.65
644.07,118.49,59.09
647.46,92.87,166.07
650.85,148.84,230.57
654.24,371.36,1.0
657.63,1.0,208.37
661.02,207.03,87.08
664.41,1.0,209.71
667.8,89.73,75.64
671.19,245.08,1.0
674.58,141.89,1.0
677.97,26.96,154.73
681.36,62.48,175.22
684.75,201.25,58.15
688.14,59.54,211.77
691.53,153.51,1.0
694.92,135.71,139.98
698.31,65.28,24.83
701.69,344.14,80.09
705.08,192.44,149.37
708.47,1.0,57.94
711.86,146.3,104.88
715.25,60.79,243.32
718.64,211.53,84.37
722.03,46.35,224.99
725.42,113.45,27.82
728.81,174.74,193.14
732.2,210.15,283.69
735.59,2.87,1.0
738.98,88.79,58.6
742.37,74.08,195.38
745.76,55.58,116.75
749.15,296.8,173.56
752.54,160.1,75.43
